Course Name,Course Link,Course Description,Price,Starting Date,Whether it is live or self-paced,Number of Lessons,Total Duration in Hours,Who the course is meant for
Generative AI Foundations 1,https://vizuara.ai/courses/generative-ai-foundations-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",3999,2026-07-04,Self-Paced,19,13,Software engineers
Generative AI Bootcamp 1,https://vizuara.ai/courses/generative-ai-bootcamp-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",4999,2026-07-07,Self-Paced,20,14,Data analysts
Generative AI Masterclass 1,https://vizuara.ai/courses/generative-ai-masterclass-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",5999,2026-07-10,Live,21,15,College students
Generative AI Professional Certificate 1,https://vizuara.ai/courses/generative-ai-professional-certificate-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",6999,2026-07-13,Self-Paced,22,16,ML practitioners
Generative AI Applied Projects 1,https://vizuara.ai/courses/generative-ai-applied-projects-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",7999,2026-07-16,Self-Paced,23,17,AI engineers
Generative AI Hands-On Workshop 1,https://vizuara.ai/courses/generative-ai-hands-on-workshop-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",8999,2026-07-19,Live,24,18,Backend developers
Generative AI Essentials 1,https://vizuara.ai/courses/generative-ai-essentials-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",9999,2026-07-22,Self-Paced,25,19,Tech leads
Generative AI Advanced Techniques 1,https://vizuara.ai/courses/generative-ai-advanced-techniques-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",10999,2026-07-25,Self-Paced,26,20,Product managers
Generative AI Industry Applications 1,https://vizuara.ai/courses/generative-ai-industry-applications-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",11999,2026-07-28,Live,27,21,Working professionals
Generative AI Production Systems 1,https://vizuara.ai/courses/generative-ai-production-systems-1,"Comprehensive generative ai course covering concepts, tools, real-world case studies, guided projects, and deployment best practices.",12999,2026-07-31,Self-Paced,28,22,Beginners entering AI
